Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
WellteQ,https://www.crunchbase.com/organization/wellteq,"Fitness, Health Care, Wellness","Singapore, Central Region, Singapore",It delivers powerful employee wellness and engagement programs that positively impacts company profitability.,1200000,AUD,956528,Private,,,Active,http://wellteq.co/,11-50,1200000,AUD,956528,Seed,1,Peak
BeLive,https://www.crunchbase.com/organization/belive,"E-Commerce, Internet, Video Streaming","Singapore, Central Region, Singapore",BeLive builds technology to make live streams better. It's solutions serve 100 million users monthly.,1500000,USD,1500000,Private,,,Active,http://belive.sg,51-100,1500000,USD,1500000,Seed,1,Mediacorp Singapore
Mednefits,https://www.crunchbase.com/organization/mednefits,"Fitness, Health Care, Wellness","Singapore, Central Region, Singapore","Mednefits is a new kind of health benefits company using technology, data, design to make benefits simple, affordable and human.",9000000,SGD,6711811,Private,,,Active,https://mednefits.com/,1-10,8000000,SGD,5959342,Series A,2,B Infinite
Frontier Wallet,https://www.crunchbase.com/organization/frontier-wallet,,"Singapore, Central Region, Singapore",Manage your DeFi positions across multiple protocols without compromising your safety or security.,1850000,USD,1850000,Private,,,Active,https://frontierwallet.com/,1-10,1850000,USD,1850000,Seed,1,"Alameda Research, NGC Ventures, CoinGecko, AU21 Capital, Woodstock Fund"
Cargobase,https://www.crunchbase.com/organization/cargobase,"B2B, Enterprise, Enterprise Software, Logistics, SaaS, Software, Supply Chain Management, Transportation","Singapore, Central Region, Singapore",A global logistics SaaS that automates all procurement and freight management processes between enterprise shippers and logistics providers.,2180000,USD,2180000,Private,,,Active,http://www.cargobase.com,11-50,950000,USD,950000,Angel,4,"500 Startups, YSS Capital, Arnout Wagenaar, Bukit Timah Capital"
Hiringboss Holdings Pte. Ltd.,https://www.crunchbase.com/organization/hiring-boss,"CRM, Human Resources, Information Technology, Recruiting, Software","Singapore, Central Region, Singapore",HRBoss is Asia's leading provider of data-driven software for both corporate HR and recruitment agencies.,12600000,USD,12600000,Private,,,Active,https://hrboss.com/company,51-100,2000000,USD,2000000,Convertible Note,4,"JAFCO Japan, Pacific & Orient Berhad, Bernie Schiemer"
Qxpress,https://www.crunchbase.com/organization/qxpress,"E-Commerce, Logistics, Warehousing","Singapore, Central Region, Singapore","Qxpress operates an E-commerce product warehouse storage, delivery order acceptance, and packing services business.",50000000,USD,50000000,Private,,,Active,https://www.qxpress.asia/,251-500,50000000,USD,50000000,Private Equity,1,Crescendo Equity Partners
ElaWoman - Fertility & Maternity Portal,https://www.crunchbase.com/organization/yasabe,"Fertility, Health Care, Medical","Singapore, Central Region, Singapore","ELA is the largest Fertility healthcare portal, having more than 1265 Fertility Centres across India and South- East Asia. ",3000000,USD,3000000,Private,,,Active,https://www.elawoman.com/,51-100,3000000,USD,3000000,Series A,3,"Chiratae Ventures, Alkemi Venture Partners"
V-Key,https://www.crunchbase.com/organization/v-key,"Cloud Computing, Information Technology, Mobile, Software","Singapore, Central Region, Singapore","Global leader in software based digital security, with solutions for mobile identity, authentication, authorization, and payments",16000000,USD,16000000,Private,,,Active,http://www.v-key.com,101-250,12000000,USD,12000000,Series B,2,"Ant Group, IPV Capital"
Musiio,https://www.crunchbase.com/organization/musiio,"Artificial Intelligence, Audio, B2B, Information Technology, Machine Learning, Music","Singapore, Central Region, Singapore",Musiio is an Artificial Intelligence company for the Music Industry.,1000000,USD,1000000,Private,,,Active,https://www.musiio.com,11-50,1000000,USD,1000000,Seed,2,"Entrepreneur First, Wavemaker Partners, Exponential Creativity Ventures"
Jojonomic,https://www.crunchbase.com/organization/jojonomic,"Apps, Financial Services, FinTech, Mobile Apps","Singapore, Central Region, Singapore",Jojonomic is a mobile personal financial application that will revolutionize the way people manage their finance.,1500000,USD,1500000,Private,,,Active,https://jojonomic.com/,11-50,,,,Venture - Series Unknown,3,"Pegasus Tech Ventures, East Ventures, Finch Capital, Golden Gate, Maloekoe Ventures"
Digix,https://www.crunchbase.com/organization/digix-global,"Bitcoin, Blockchain, Ethereum","Singapore, Central Region, Singapore",Digix is a smart asset company that uses Blockchain technology to represent physical gold with tokens.,6750000,USD,6750000,Private,,,Active,https://digix.global,11-50,,,,Venture - Series Unknown,3,"Global Brain Corporation, Tribe Accelerator, Fenbushi Capital, Chain Capital"
Eximchain,https://www.crunchbase.com/organization/eximchain,"Blockchain, Financial Services, Internet","Singapore, Central Region, Singapore","Eximchain enables businesses to connect, transact, and share information more efficiently and securely using blockchain technology.",20000000,USD,20000000,Private,,,Active,http://www.eximchain.com,1-10,,,,Venture - Series Unknown,4,"Tribe Accelerator, FBG Capital, Lair East Labs, Kinetic Capital, INBlockchain"
Drive lah,https://www.crunchbase.com/organization/drive-lah,,"Singapore, Central Region, Singapore","Peer-to-peer car sharing platform where you can rent a large variety of cars, always nearby at great value",950000,USD,950000,Private,,,Active,https://www.drivelah.sg/,11-50,700000,USD,700000,Seed,2,"HH Investments VC, Dirk-Jan ter Horst"
Entropica Labs,https://www.crunchbase.com/organization/entropica-labs,"Quantum Computing, Software","Singapore, Central Region, Singapore","At Entropica we do the best with quantum computers, today.",2600000,SGD,1832063,Private,,,Active,https://www.entropicalabs.com/,11-50,2600000,SGD,1832063,Seed,2,"Entrepreneur First, Creative Destruction Lab, Wavemaker Partners, SGInnovate, TIS Japan"
Manabie,https://www.crunchbase.com/organization/manabie,"E-Learning, Education","Singapore, Central Region, Singapore",Manabie  is an Education Technology start-up company on a mission to provide a new style of online & offline merged learning.,4800000,USD,4800000,Private,,,Active,https://manabie.com/,101-250,4800000,USD,4800000,Seed,1,"Genesia Ventures, Keisuke Honda, Nobuhiro Ariyasu, Masayuki Watanabe, Shunsuke Oyu"
Ethereum Push Notification Service,https://www.crunchbase.com/organization/ethereum-push-notification-service,"Blockchain, Internet","Singapore, Central Region, Singapore",Ethereum Push Notification Service is a decentralized notification protocol.,750000,USD,750000,Private,,,Active,https://www.epns.io,1-10,750000,USD,750000,Seed,1,"Balaji Srinivasan, LD Capital, Moonwhale Ventures, Preethi Kasireddy, BR Capital"
Next Gen Foods,https://www.crunchbase.com/organization/next-gen-foods,"Food and Beverage, Food Processing, Organic Food, Retail","Singapore, Central Region, Singapore",Next Gen Foods is a food-tech startup that offers plant-based meats products.,2200000,USD,2200000,Private,,,Active,https://nextgenfoods.sg/,1-10,2200000,USD,2200000,Seed,1,
ælf,https://www.crunchbase.com/organization/ælf,"Blockchain, Cloud Computing, Internet","Singapore, Central Region, Singapore","ælf is a decentralized Cloud Computing Blockchain Network, featuring parallel processing and nodes clustering to enable scaling...",41000000,USD,41000000,Private,,,Active,https://www.aelf.io/,11-50,40000000,USD,40000000,Venture - Series Unknown,2,"Hashed, Fundamental Labs, 8 Decimal Capital, Node Capital, JLAB | JD capital"
Ohmyhome,https://www.crunchbase.com/organization/ohmyhome,"Apps, Marketplace, Property Management, Real Estate","Singapore, Central Region, Singapore","Ohmyhome is a proptech marketplace for housing transactions, connecting homeowners to home seekers directly.",2920000,USD,2920000,Private,,,Active,https://omh.sg/,51-100,2920000,USD,2920000,Series A,3,"Golden Equator Ventures, K3 Ventures"
Haulio,https://www.crunchbase.com/organization/haulio,"Developer Platform, Freight Service, Industrial, Information Technology","Singapore, Central Region, Singapore",Haulio is a tech-enabled first mile logistics firm that aggregates demand for shipments to haulage companies in Southeast Asia,953000,USD,953000,Private,,,Active,http://haulio.io/,11-50,150000,USD,150000,Seed,4,"500 Startups, Iterative, PSA Unboxed, NUS Enterprise, ComfortDelGro Capital Partners"
Tagit,https://www.crunchbase.com/organization/tagit,"Android, Enterprise Software, iOS, Mobile, Mobile Payments","Singapore, Central Region, Singapore",Mobility Enterprise Application Platform,8750000,SGD,6397428,Private,,,Active,http://www.tagitmobile.com,101-250,8750000,SGD,6397428,Venture - Series Unknown,1,SRA Group
Cube Highways and Infrastructure,https://www.crunchbase.com/organization/cube-highways-and-infrastructure,Infrastructure,"Singapore, Central Region, Singapore","Cube Highways and Infrastructure, independent, professionally-managed company managing and operating a world class portfolio of toll roads.",35000000000,INR,474337976,Private,,,Active,http://www.cubehighways.com/,11-50,35000000000,INR,474337976,Debt Financing,1,State Bank of India
MiRXES Pte Ltd,https://www.crunchbase.com/organization/mirxes-pte-ltd,"Biotechnology, Health Care, Life Science","Singapore, Central Region, Singapore","Biotechnology, Cancer Diagnostics, Health Care, Life Science",4000000,USD,4000000,Private,,,Active,http://www.mirxes.com,11-50,4000000,USD,4000000,Seed,1,Venturecraft Group
20Cube Logistics,https://www.crunchbase.com/organization/20cube-logistics,"Logistics, Supply Chain Management","Singapore, Central Region, Singapore",20Cube Logistics provides freight management and integrated logistics solutions that deliver cargo by sea and air.,17000000,USD,17000000,Private,,,Active,http://www.20cube.com/,501-1000,17000000,USD,17000000,Private Equity,1,"Zephyr Management, Credence Partners"
Structo,https://www.crunchbase.com/organization/structo,"Cloud Computing, Developer APIs, Web Development, Web Hosting","Singapore, Central Region, Singapore",Structo builds industrial-grade 3D SLA printers using proprietary MSLA technology.,3000000,USD,3000000,Private,,,Active,http://structo3d.com/,101-250,,,,Series D,8,"GGV Capital, InnoVen Capital, Wavemaker Partners, EDBI, Pavilion Capital"
uCare.ai,https://www.crunchbase.com/organization/ucare-io,"Artificial Intelligence, Health Care, Predictive Analytics","Singapore, Central Region, Singapore",UCare.ai is a Singapore-based Artificial Intelligence-powered healthcare startup.,8200000,SGD,6120101,Private,,,Active,http://www.ucare.ai/,11-50,8200000,SGD,6120101,Series A,1,"Walden International, Great Eastern Holdings, Peter Lim, WPGrowth Ventures"
Torus Labs,https://www.crunchbase.com/organization/torus-labs,"Apps, Blockchain, Information Technology","Singapore, Central Region, Singapore",Torus Labs makes cryptographic key management easy for users and applications,2000000,USD,2000000,Private,,,Active,https://tor.us,11-50,,,,Venture - Series Unknown,2,"Binance Labs, Coinbase Ventures, Tribe Accelerator, Accomplice, Multicoin Capital"
Right-Hand Cybersecurity,https://www.crunchbase.com/organization/right-hand-cybersecurity,"Cyber Security, Information Services, Information Technology, Software","Singapore, Central Region, Singapore",The AI-Powered Cyber and Policy Awareness Platform,1000000,USD,1000000,Private,,,Active,https://right-hand.ai/,11-50,1000000,USD,1000000,Seed,2,"Entrepreneur First, SGInnovate, Atlas Ventures"
Phemex,https://www.crunchbase.com/organization/phemex,,"Singapore, Central Region, Singapore",Phemex operates as a crypto derivatives trading platform.,3500000,USD,3500000,Private,,,Active,https://phemex.com/,11-50,3500000,USD,3500000,Seed,1,NGC Ventures
Seekify,https://www.crunchbase.com/organization/seekify,"Automotive, Internet, Internet of Things, Software","Singapore, Central Region, Singapore",Seekify integrates into multiple software used by businesses to aggregate all the data that drives their customer experience.,1500000,USD,1500000,Private,,,Active,https://seekify.com/,11-50,1500000,USD,1500000,Seed,1,Surge
Biolidics,https://www.crunchbase.com/organization/clearbridge-biomedics,"Biotechnology, Health Care, Health Diagnostics","Singapore, Central Region, Singapore",Biolidics is focused on the development of medical devices to improve cancer diagnostics and patient care.,15260000,SGD,11757088,Private,,,Active,https://www.biolidics.com/,11-50,6600000,SGD,4823186,Venture - Series Unknown,2,"Vertex Ventures, Vertex Ventures Southeast Asia & India, BioVeda Capital, Spring SEEDS Capital, Dark Horse Investment"
umitron,https://www.crunchbase.com/organization/umitron,"Analytics, Aquaculture, Internet of Things","Singapore, Central Region, Singapore",Umitron is a data company for aquaculture.,12933523,USD,12933523,Private,,,Active,https://umitron.com,1-10,2000000,USD,2000000,Seed,3,"Mirai Creation Fund, Innovation Network Corporation of Japan, D4V - Design for Ventures, Matsuoka Tsuyoshi"
FUSION Foundation,https://www.crunchbase.com/organization/fusion-foundation,"Blockchain, Information Services, Information Technology, Internet","Singapore, Central Region, Singapore",The FUSION Protocol provides APIs to include different blockchain tokens.,110000000,USD,110000000,Private,,,Active,https://fusion.org/,11-50,110000000,USD,110000000,Initial Coin Offering,2,BlockWater Management
